111,f.close(),关闭打开的文件
112,f.tell(),读取文件指针当前位置
113,f.seek(0，0),读取文件指针移动到起始位置
114,f.seek(offset，from) (offset：偏移量，from:0起始位置，1当前位置，2文件末尾）,f.seek()用法
115,f.write(data),读取文件写入数据
116,f.read().splitlines(),以换行符为分隔符读取文件
117,n = random.randint(1，10),引入random模块产生随机数n
118,os.getcwd(),os模块获取当前目录
119,"os.chdir(""C:\\"")",os模块切换到C盘根目录
120,os.listdir([path]),os模块查看目录下的文件
121,"os.mkdir(""dir"")",os模块创建文件夹
122,"os.rmdir(""dir"")",os模块删除文件夹
123,"os.makedirs(r""./dir1/dir2/dir3"")",os模块递归创建文件夹
124,"os.removedirs(r""./dir1/dir2/dir3"")",os模块递归删除空目录
125,"os.remove(""1.txt"")",os模块删除文件
126,os.rename(old，new)(os.renames，既可以重命名文件， 也可以重命名文件的上级目录名),os模块重命名文件或目录
127,"os.system(""calc"")",os模块打开系统的计算器
128,"os.walk(r""D:\\python"")",os模块递归返回该目录下所有子目录为三元组：（路径，[包含目录局]，[包含文件]）
129,"os.path.basename(r""D:\\python\\python\\01.py"")",os模块去掉目录路径，单独返回文件名
130,"os.path.dirname(r""D:\\python\\python\\01.py"")",os模块去掉文件名，单独返回文件路径
131,"os.path.join(r""D:\python\python""，""test.txt"")",os模块将路径名与文件名合并
132,"s.path.split(r""D:\python\python\test.txt"")",os模块将路径名与文件名拆分为元组
133,"os.path.splitext(r""D:\python\python\1.txt"")",os模块分离目录名+文件名与文件拓展名为二元组
134,"os.path.getsize(""./test.py"")",os模块获取文件的大小
135,"os.path.getatime(""./test.py"")",os模块返回文件的最后访问时间（浮点型秒数）
136,time.localtime(time),time模块对毫秒数据格式化
137,"time.strftime(""%Y %b %d %H:%M:%S""，time.localtime(time))",time模块格式化输出时间（年月日，时分秒）
138,"os.path.getctime(""./test.py"")",os模块返回文件的创建时间
139,"os.path.getmtime(""./test.py"")",os模块返回文件的最后修改时间
140,"os.path.isabs(""./test.py"")",os模块判断当前路径是否是绝对路径
141,"os.path.exists(r""D:\\python\\python\\test.py"")",os模块判断路径或文件是否存在
142,"os.path.isdir(r""D:\\python\\python"")",os模块判断目录文件是否存在且是目录
143,"os.path.isfile(r""D:\\python\\python\\test.py"")",os模块判断目录文件是否存在且是文件
144,"os.path.islink(r""D:\\python\\python\\test.py"")",os模块判断文件是否是符号链接
145,"os.path.ismount(r""D:\\python\\python"")",os模块判断目录是否存在且是一个挂载点
146,os.path.samefile(path1，path2),判断两个路径是否指向同一个文件
147,"f = open(""zk.pkl""， ""wb"")；pickle.dump(l，f)；f.close",pickle模块将列表数据导入文件
148,"f = open(""zk.pkl""， ""rb+"")；list = pickle.load(f)；f.close",pickle模块从pkl文件导入数据到列表
149,"with open(""./2.txt""，""r"") as f:",with语句打开文件
150,issubclass(B，A),判断ClassB是否是ClassA的子类
151,isinstance(b1，B),判断实例b1是否是ClassB的实例
152,"hasattr(b1，""x"")",判断实例b1继承的类是否有x属性
153,"getattr(b1，""x""[，0])",获取实例类b1属性x的值，不存在则返回默认值0
154,"setattr(b1，""y""，100)",给实例b1添加属性值y=100
155,"delattr(b1，""y"")",删除实例b1的y属性
156,def __init__(self[，...]):,初始化函数构造的方法（构造器）
157,def __new__(cls[，...]):,返回cls实例化对象（构造器）
158,def __del__(self[，...]):,对象删除方法（析构器）
159,def __add__(self， other):,定义对象的私有加法
160,def __sub__(self， other):,定义对象的私有减法
161,def __mul__(self， other):,定义对象的私有乘法
162,def __truediv__(self， other):,定义对象的私有真除法
163,def __floordiv__(self， other):,定义对象的私有整除法
164,def __mod__(self， other):,定义对象的私有取模算法
165,it=iter(string);next(it),创建字符串迭代器
166,a = [i for i in range(100) if not (i % 2 ) and i % 3],列表推导式
167,list = sys.path,sys模块显示路径为列表
168,sys.path.append(dir),sys模块添加路径
169,dir(list),查看List定义了哪些变量、函数和类
170,time.sleep(1),time模块暂停1秒
